proj	ts	deg	stage	art	seq	rid	pass	cls	esc	rat
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	R-L1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	R-L2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	R-L3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	R-S1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	R-S2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	R-S3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	R-SEM	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	R-X	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	R-L1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	R-L2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	R-L3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	R-S1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	R-S2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	R-S3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	R-SEM	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	R-X	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	R-L1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	R-L2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	R-L3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	R-S1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	R-S2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	R-S3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	R-SEM	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	R-X	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	R-L1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	R-L2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	R-L3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	R-S1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	R-S2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	R-S3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	R-SEM	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	R-X	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	R-L1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	R-L2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	R-L3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	R-S1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	R-S2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	R-S3	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	R-SEM	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	R-X	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-6-lane-integration-in-pillar-3	1	R-L1	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-6-lane-integration-in-pillar-3	1	R-L2	1	blocking	0	-
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-6-lane-integration-in-pillar-3	1	R-L3	1	blocking	0	-
