proj	ts	feat	phase	stage	outcome	halt	bud_prr	bud_min	natt
PRPs-agentic-eng	-	figma-implementation-track	1	complete	complete	-	2	240	-
PRPs-agentic-eng	-	figma-implementation-track	2	complete	complete	-	2	240	-
PRPs-agentic-eng	-	figma-implementation-track	3	complete	complete	-	2	240	-
PRPs-agentic-eng	-	figma-implementation-track	4	complete	complete	-	2	240	-
PRPs-agentic-eng	-	figma-implementation-track	5	complete	complete	-	2	240	-
PRPs-agentic-eng	-	figma-implementation-track	6	complete	complete	-	2	240	-
PRPs-agentic-eng	-	figma-implementation-track	7	complete	complete	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	-	test	GREEN	-	-	-	-
PRPs-agentic-eng	-	figma-quota-resilience	1	d8	COMPLETE	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	implement	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	manual_recovery	RUBRIC_AMENDED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	plan	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	plan	CHANGES_REQUESTED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	tdd	deferred_to_test_after	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	test	GREEN_WITH_DOCUMENTED_DEBT	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	1	worktree	CREATED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	2	complete	complete	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	2	d8	COMPLETE	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	2	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	2	implement	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	2	plan	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	2	test_after	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	d8	COMPLETE	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	docs_sync	APPROVED	-	2	240	-
PRPs-agentic-eng	-	figma-quota-resilience	3	implement	TEST_CONTRACT_DISPUTE	-	2	240	-
