proj	ts	deg	stage	art	seq	feat	phase	verdict	action	nrub	nfail	nblk	nadv	nesc
PRPs-agentic-eng	2026-08-03T17:18:34Z	0	code-review	figma-quota-resilience-phase-1-resource-packaging	1	figma-quota-resilience	1	CHANGES_REQUESTED	rubric_fail	13	4	4	0	0
PRPs-agentic-eng	2026-08-03T18:09:07Z	0	code-review	figma-quota-resilience-phase-1-resource-packaging	2	figma-quota-resilience	1	APPROVED	final_flip	14	0	0	0	0
PRPs-agentic-eng	2026-08-03T20:15:00Z	0	code-review	figma-quota-resilience-phase-2-scoped-scan-metadata-budget	1	figma-quota-resilience	2	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-08-04T15:57:41Z	0	code-review	figma-quota-resilience-phase-3-quota-preflight-named-failure	1	figma-quota-resilience	3	APPROVED	final_flip	1	0	0	0	0
PRPs-agentic-eng	2026-08-04T17:11:59Z	0	code-review	figma-quota-resilience-phase-3-quota-preflight-named-failure	2	figma-quota-resilience	3	CHANGES_REQUESTED	rubric_fail	14	2	2	0	0
PRPs-agentic-eng	2026-08-04T17:36:02Z	0	code-review	figma-quota-resilience-phase-3-quota-preflight-named-failure	3	figma-quota-resilience	3	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-08-04T20:03:02Z	0	code-review	figma-quota-resilience-phase-4-evidence-contract-rungs-r-dm7	1	figma-quota-resilience	4	CHANGES_REQUESTED	rubric_fail	14	1	1	0	0
PRPs-agentic-eng	2026-08-04T20:26:02Z	0	code-review	figma-quota-resilience-phase-4-evidence-contract-rungs-r-dm7	2	figma-quota-resilience	4	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-08-04T22:57:49Z	0	code-review	figma-quota-resilience-phase-5-checkpoint-resume	1	figma-quota-resilience	5	CHANGES_REQUESTED	rubric_fail	16	3	3	0	0
PRPs-agentic-eng	2026-08-04T23:21:08Z	0	code-review	figma-quota-resilience-phase-5-checkpoint-resume	2	figma-quota-resilience	5	APPROVED	final_flip	13	0	0	0	0
PRPs-agentic-eng	2026-08-06T20:17:13Z	0	code-review	figma-quota-resilience-phase-6-design-spec-quota-path	1	figma-quota-resilience	6	CHANGES_REQUESTED	rubric_fail	15	2	2	0	0
