proj	ts	deg	stage	art	seq	feat	phase	verdict	action	nrub	nfail	nblk	nadv	nesc
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	parallel-phase-execution	1	APPROVED	-	8	0	0	0	0
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	parallel-phase-execution	2	APPROVED	-	8	0	0	0	0
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	parallel-phase-execution	3	APPROVED	-	8	0	0	0	0
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	parallel-phase-execution	4	APPROVED	-	8	0	0	0	0
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	parallel-phase-execution	5	APPROVED	-	8	0	0	0	0
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-6-lane-integration-in-pillar-3	1	parallel-phase-execution	6	APPROVED	-	8	0	0	0	0
PRPs-agentic-eng	-	0	code-review	parallel-phase-execution-phase-7-synthetic-fixture-instrumentation-and-the-negative-case	1	parallel-phase-execution	7	APPROVED	-	8	0	0	0	0
PRPs-agentic-eng	-	0	plan-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	parallel-phase-execution	1	APPROVED	-	20	0	0	0	0
PRPs-agentic-eng	-	0	plan-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	parallel-phase-execution	2	APPROVED	-	20	0	0	0	0
PRPs-agentic-eng	-	0	plan-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	parallel-phase-execution	3	APPROVED	-	20	0	0	0	0
PRPs-agentic-eng	-	0	plan-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	parallel-phase-execution	4	APPROVED	-	20	0	0	0	0
PRPs-agentic-eng	-	0	plan-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	parallel-phase-execution	5	APPROVED	-	20	0	0	0	0
PRPs-agentic-eng	-	0	plan-review	parallel-phase-execution-phase-6-lane-integration-in-pillar-3	1	parallel-phase-execution	6	APPROVED	-	20	0	0	0	0
PRPs-agentic-eng	-	0	plan-review	parallel-phase-execution-phase-7-synthetic-fixture-instrumentation-and-the-negative-case	1	parallel-phase-execution	7	APPROVED	-	20	0	0	0	0
PRPs-agentic-eng	-	0	test-write-review	parallel-phase-execution-phase-1-lane-model-and-parallel-semantics	1	parallel-phase-execution	1	APPROVED	-	7	0	0	0	0
PRPs-agentic-eng	-	0	test-write-review	parallel-phase-execution-phase-2-per-lane-worktree-and-branch	1	parallel-phase-execution	2	APPROVED	-	7	0	0	0	0
PRPs-agentic-eng	-	0	test-write-review	parallel-phase-execution-phase-3-orchestrator-serialized-state-mutation	1	parallel-phase-execution	3	APPROVED	-	7	0	0	0	0
PRPs-agentic-eng	-	0	test-write-review	parallel-phase-execution-phase-4-runtime-safety-gate-and-concurrency-cap	1	parallel-phase-execution	4	APPROVED	-	7	0	0	0	0
PRPs-agentic-eng	-	0	test-write-review	parallel-phase-execution-phase-5-concurrent-lane-dispatch	1	parallel-phase-execution	5	APPROVED	-	7	0	0	0	0
PRPs-agentic-eng	-	0	test-write-review	parallel-phase-execution-phase-7-synthetic-fixture-instrumentation-and-the-negative-case	1	parallel-phase-execution	7	APPROVED	-	7	0	0	0	0
